Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07,6347,6347,0,"100.00"
/ofbiz13.07/.metadata,477,477,0,"100.00"
/ofbiz13.07/.metadata/.mylyn,10,10,0,"100.00"
/ofbiz13.07/.metadata/.mylyn/.taskListIndex,2,2,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.core.resources/.root,0,0,0,"0.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.core.resources/.root/.indexes,3,3,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.core.resources/.safetable,23,23,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.core.runtime/.settings,50,50,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.e4.workbench,2250,2250,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.jdt.core,6,6,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.jdt.launching,47,47,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.jdt.ui,17,17,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.m2e.logback.configuration,43,43,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.pde.core/.cache,2,2,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.ui.ide,24,24,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.ui.intro,4,4,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.eclipse.ui.workbench,21,21,0,"100.00"
/ofbiz13.07/.metadata/.plugins/org.jboss.tools.usage/events,10,10,0,"100.00"
/ofbiz13.07/.svn,15844,15844,0,"100.00"
/ofbiz13.07/.svn/pristine/00,10818,10818,0,"100.00"
/ofbiz13.07/.svn/pristine/01,1310,1310,0,"100.00"
/ofbiz13.07/.svn/pristine/02,5326,5326,0,"100.00"
/ofbiz13.07/.svn/pristine/03,8621,8621,0,"100.00"
/ofbiz13.07/.svn/pristine/04,5834,5834,0,"100.00"
/ofbiz13.07/.svn/pristine/05,4377,4377,0,"100.00"
/ofbiz13.07/.svn/pristine/06,10167,10167,0,"100.00"
/ofbiz13.07/.svn/pristine/07,6211,6211,0,"100.00"
/ofbiz13.07/.svn/pristine/08,4570,4570,0,"100.00"
/ofbiz13.07/.svn/pristine/09,3504,3504,0,"100.00"
/ofbiz13.07/.svn/pristine/0a,1480,1480,0,"100.00"
/ofbiz13.07/.svn/pristine/0b,2180,2180,0,"100.00"
/ofbiz13.07/.svn/pristine/0c,6309,6309,0,"100.00"
/ofbiz13.07/.svn/pristine/0d,3605,3605,0,"100.00"
/ofbiz13.07/.svn/pristine/0e,30160,30160,0,"100.00"
